,city,temp,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
131,ankazoabo,46.4,90.0,AM,1586232862.0,75.0,39.72,45.65,46.4,11.41
132,kapaa,10.4,67.0,RU,1586232863.0,66.0,64.38,-173.3,10.4,4.47
133,ponta do sol,71.8,58.0,TL,1586232864.0,56.0,-8.93,125.41,71.8,3.11
134,reykjavik,55.04,20.0,US,1586232857.0,47.0,37.1,-113.58,61.0,3.36
135,la palma,30.2,75.0,IS,1586232867.0,100.0,63.84,-22.43,30.2,23.04
136,rocha,56.89,0.0,CL,1586232868.0,41.0,-35.33,-72.42,56.89,7.49
137,salinopolis,23.0,78.0,GL,1586232870.0,49.0,60.92,-46.05,23.0,1.12
138,cherskiy,61.16,100.0,BR,1586232871.0,73.0,-24.79,-50.01,61.16,1.74
139,saint-augustin,26.1,0.0,RU,1586232873.0,91.0,59.38,143.3,26.1,11.7
140,torrington,55.0,24.0,AR,1586232874.0,70.0,-38.55,-58.74,55.0,8.99
141,carndonagh,75.7,64.0,BR,1586232875.0,86.0,-22.97,-42.03,75.7,22.46
142,birao,15.71,5.0,RU,1586232876.0,94.0,68.05,39.51,15.71,11.1
143,east london,87.42,29.0,ID,1586232878.0,58.0,0.13,117.5,87.42,6.29
144,aklavik,35.76,5.0,IT,1586232879.0,80.0,46.62,10.7,44.01,4.7
145,saravan,47.64,4.0,ZA,1586232880.0,45.0,-30.65,24.01,47.64,10.2
146,provideniya,51.8,40.0,TR,1586232882.0,93.0,36.62,29.12,51.8,4.7
147,airai,32.59,0.0,IT,1586232883.0,92.0,46.46,10.35,44.01,1.12
148,saint george,89.28,49.0,ID,1586232884.0,53.0,-8.47,140.33,89.28,5.32
149,vaitupu,17.13,100.0,RU,1586232886.0,95.0,71.69,128.87,17.13,5.1
150,grindavik,77.0,100.0,AU,1586232887.0,25.0,-25.24,130.99,77.0,12.75
151,constitucion,78.8,20.0,TG,1586232888.0,83.0,6.12,1.19,78.8,3.36
152,narsaq,32.0,40.0,IS,1586232890.0,89.0,66.04,-17.34,32.0,36.91
153,castro,71.4,90.0,MX,1586232602.0,38.0,22.89,-109.91,73.4,4.7
154,okhotsk,85.12,60.0,ID,1586232892.0,69.0,-2.68,111.62,85.12,4.76
155,necochea,75.76,60.0,BR,1586232893.0,98.0,-2.54,-57.76,75.76,2.1
156,arraial do cabo,47.39,20.0,US,1586232895.0,93.0,38.42,-121.42,52.0,2.06
157,ostrovnoy,83.7,7.0,ID,1586232896.0,70.0,1.17,108.97,83.7,4.52
158,bontang,69.26,40.0,HK,1586232845.0,72.0,22.29,114.16,71.01,3.36
159,lasa,62.87,50.0,NZ,1586232899.0,71.0,-39.2,173.88,64.99,8.99
160,we,35.71,45.0,GB,1586232900.0,96.0,51.03,-4.22,37.99,1.99
161,de aar,77.0,75.0,GA,1586232902.0,94.0,1.0,9.58,77.0,2.24
162,fethiye,65.71,44.0,NZ,1586232903.0,73.0,-35.62,174.5,68.0,5.99
163,oga,39.2,97.0,CL,1586232904.0,86.0,-41.87,-73.82,39.2,6.93
164,merauke,27.03,0.0,RU,1586232905.0,91.0,57.86,45.78,27.03,6.98
165,tiksi,50.7,99.0,IR,1586232907.0,42.0,36.17,54.35,50.7,3.51
166,yulara,12.85,96.0,GL,1586232908.0,82.0,66.94,-53.67,12.85,6.64
167,aflao,46.4,100.0,KZ,1586232772.0,70.0,51.18,71.45,46.4,13.42
168,husavik,43.95,90.0,FR,1586232910.0,100.0,50.92,1.83,50.0,4.7
169,cabo san lucas,39.18,84.0,CN,1586232912.0,60.0,46.68,126.08,39.18,16.33
170,pangkalanbuun,83.28,0.0,IN,1586232913.0,30.0,25.52,90.22,83.28,7.31
171,urucara,42.71,35.0,AR,1586232914.0,44.0,-41.15,-71.31,44.01,6.93
172,laguna,81.77,0.0,PK,1586232916.0,31.0,28.28,68.44,81.77,10.47
173,pemangkat,41.0,75.0,NO,1586232917.0,93.0,68.12,13.5,41.0,12.75
174,victoria,71.73,94.0,PE,1586232919.0,77.0,-17.02,-72.01,71.73,5.68
175,okato,62.91,75.0,MX,1586232920.0,77.0,29.57,-104.42,64.4,4.7
176,northam,84.78,81.0,SB,1586232921.0,72.0,-8.77,160.7,84.78,4.43
177,cocobeach,54.72,0.0,TR,1586232922.0,62.0,36.37,30.29,54.72,3.31
178,ngunguru,53.69,1.0,US,1586232924.0,66.0,41.12,-100.77,57.99,9.62
179,ancud,35.6,0.0,IT,1586232925.0,93.0,40.9,9.1,35.6,2.24
180,vetluga,80.44,75.0,AU,1586232926.0,54.0,-25.3,152.85,82.0,13.87
181,damghan,63.45,97.0,PT,1586232928.0,90.0,38.52,-28.7,63.45,15.66
182,sisimiut,54.23,40.0,PT,1586232929.0,100.0,42.03,-8.16,60.01,3.36
183,astana,52.16,92.0,ES,1586232931.0,97.0,43.42,-4.75,54.0,7.54
184,calais,48.2,0.0,RU,1586232932.0,29.0,62.54,113.96,48.2,8.95
185,qinggang,55.99,89.0,NZ,1586232933.0,84.0,-46.28,169.85,55.99,12.66
186,tura,75.2,40.0,LR,1586232870.0,94.0,6.3,-10.8,75.2,7.52
187,san carlos de bariloche,69.33,57.0,NZ,1586232936.0,52.0,-36.4,174.67,72.0,9.17
188,jacobabad,28.4,5.0,CA,1586232937.0,74.0,48.75,-79.0,28.4,2.24
189,gravdal,78.8,20.0,BR,1586232939.0,88.0,-5.2,-35.46,78.8,3.36
190,mollendo,86.0,20.0,LK,1586232940.0,79.0,6.77,79.88,86.0,6.93
191,one hundred mile house,53.46,75.0,US,1586232690.0,66.0,45.52,-122.68,57.99,4.7
192,ojinaga,81.25,40.0,MU,1586232943.0,74.0,-20.52,57.52,82.0,12.75
193,auki,57.2,60.0,UZ,1586232944.0,82.0,40.56,65.69,57.2,13.87
194,kumluca,76.73,89.0,NC,1586232945.0,81.0,-22.67,167.48,76.73,15.19
195,north platte,70.65,8.0,RE,1586232947.0,73.0,-21.36,55.77,78.8,9.17
196,tempio pausania,69.13,75.0,AU,1586232948.0,64.0,-32.72,152.15,72.0,12.75
197,hervey bay,13.1,99.0,RU,1586232949.0,94.0,66.03,60.17,13.1,9.01
198,ribeira grande,53.6,100.0,FR,1586232951.0,93.0,46.17,-1.15,53.6,6.93
199,vila,63.66,1.0,US,1586232952.0,82.0,37.24,-97.0,66.0,8.05
200,llanes,74.16,20.0,DO,1586232953.0,94.0,18.43,-68.97,77.0,10.94
201,mirnyy,76.01,100.0,BR,1586232954.0,84.0,-14.41,-56.45,76.01,1.52
202,chagda,82.31,69.0,NE,1586232955.0,14.0,13.32,12.61,82.31,3.24
203,kaitangata,59.85,75.0,PT,1586232957.0,93.0,39.36,-9.38,61.0,4.7
204,monrovia,77.0,40.0,BR,1586232958.0,94.0,-9.67,-35.74,77.0,4.7
205,warkworth,71.6,75.0,JP,1586232959.0,94.0,24.34,124.16,71.6,5.82
206,macamic,47.35,0.0,RU,1586232961.0,39.0,50.27,85.61,47.35,4.25
207,touros,54.07,99.0,TR,1586232962.0,57.0,37.08,41.07,54.07,2.26
208,moratuwa,15.8,75.0,SJ,1586232963.0,72.0,78.22,15.64,15.8,8.05
209,portland,75.96,92.0,GF,1586232965.0,90.0,3.17,-52.32,75.96,3.15
210,souillac,75.22,0.0,MX,1586232966.0,82.0,23.17,-97.95,78.01,1.01
211,grand river south east,59.0,0.0,EG,1586232967.0,72.0,27.18,31.18,59.0,11.41
212,nurota,87.3,28.0,IN,1586232968.0,19.0,27.92,96.17,87.3,2.75
